C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.6355, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.6367, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.6343, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.6362, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.6346, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.6344, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.2727, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.2739, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.274, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.2735, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.2744, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.279, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 6.0833, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 6.853, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, single.php, PHP 7.3.4, TIME 0.7139, MEM 1.16 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 8.6115, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0116, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0102, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 15.9539, MEM 1.47 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 2.4472, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.5382, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 9.1151, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 6.3041, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0163, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.013, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0094, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0267, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0194, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0111, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0174, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0146, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.016, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.013, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0157, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0165, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0171, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0075, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0087, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0101, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0106, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0098, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0155, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0123, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.012, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0118, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0124, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0142, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0144, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0117, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0112, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0118, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0143, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0168, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0177, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0101, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0089, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0101, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.011, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0109, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0114, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0115, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0113, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0111, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0109, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0111, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.013, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0088, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.012, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0157, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0259, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0329, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0313, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0082, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0085, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0088, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.009, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0094, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0231, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0173, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0178, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0163, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0179, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0154, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0271, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.01, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0101, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0107, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0112, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0169, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.017, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0103, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0103, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.011, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0112, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0115, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.011, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0108, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0107, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0187, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0212, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0203, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0228, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0091, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0085, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0094, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0111, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0109, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0133, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0098, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0102, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0115, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0184, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0154, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0157, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0084, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0091, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0092, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0087, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0096, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0099, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0105, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0108, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0153, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0168, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0254, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0255, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0109, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0208, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0191, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0196, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0195, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0206, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.01, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0097, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0102, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0105, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0174, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.017, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0109, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0124, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0104, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0109, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0109, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0252, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0088, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0091, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0095, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0096, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0097, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0104, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0097, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0097, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0202, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0203, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0206, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0207, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0084, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0084, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0088, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0136, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.013, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0132, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0133, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0135, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0173, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0176, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0126, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0258, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0102, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0098, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0092, MEM 1.09 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.0189, MEM 1.08 mb
C:\xampp\htdocs\bac3\project\api, index.php, PHP 7.3.4, TIME 0.016, MEM 1.08 mb
